#{"t_start": 1718037505.7752743, "env_id": null}
r,l,t
-70.889725,43,1.178776
-72.28181,43,1.178915
-55.84616,53,1.369713
-55.05486,57,1.44506
-62.734623,58,1.463885
-41.528034,61,1.520084
-58.61695,63,1.561461
-52.64951,72,1.736804
-82.553185,25,1.858675
-74.48878,38,1.917876
-12.7241,91,2.115117
-46.388317,108,2.447927
-54.780712,67,2.491008
23.108196,111,2.511655
-23.280037,115,2.589757
-59.865036,58,2.608948
-68.09826,44,2.724711
-77.841286,32,2.74453
-59.034805,61,2.768143
-57.53989,64,2.788943
-47.537495,79,3.001319
-75.88597,43,3.309749
-68.5623,45,3.391473
-50.088997,82,3.553625
-32.845646,94,3.612868
-63.03192,55,3.61295
-54.712193,53,3.850442
-67.629364,47,3.951743
-54.804413,69,3.971699
-48.319607,78,4.163411
-56.0857,70,4.163473
-14.799202,76,4.262503
-55.999504,83,4.381443
-70.202255,47,4.481573
-59.617516,60,4.501709
-79.5366,31,4.562739
-64.545876,59,4.775376
-68.0794,49,4.8167
-69.12454,47,5.092543
-60.702484,57,5.092602
-84.69719,41,5.195637
-38.716625,92,5.214916
-65.04281,52,5.534667
-19.44515,104,5.67606
-68.83894,71,5.676131
-66.336494,50,6.105297
-54.774796,66,6.14889
-9.912403,99,6.148949
-62.29324,57,6.250431
-26.290846,88,6.250491
-67.58858,44,6.42746
-50.540466,68,6.586179
-48.77613,73,6.666526
-73.698006,53,6.746722
-23.541,103,6.851928
-51.55173,68,7.057175
-32.160954,127,7.119246
-57.204666,50,7.158716
-53.282127,69,7.530333
-44.756855,76,7.765839
-42.077065,84,7.791526
-52.278404,62,7.913415
-38.49828,69,7.9732
-67.83997,49,8.033713
-37.46103,88,8.186744
-32.219326,103,8.30655
-74.6681,40,8.329139
-47.39211,79,8.329197
-56.34414,61,8.368212
-42.705544,82,8.491837
-71.58067,42,8.80938
-66.855705,51,8.80944
-52.959774,72,9.199411
-78.05697,43,9.221985
-52.259304,45,9.222046
-53.36319,69,9.279032
-65.529144,53,9.378633
-39.63535,66,9.495859
-74.531364,55,9.574663
-45.471405,80,9.614075
-64.840065,52,9.830537
-75.79358,36,9.905291
-62.222317,57,9.924663
-23.555727,92,10.123584
-41.864395,47,10.144868
-74.559364,30,10.164848
-58.818336,56,10.317358
-65.04562,54,10.338213
34.522274,165,10.383132
-54.052513,58,10.518995
-72.48784,41,10.718382
-42.89393,62,10.835765
-81.86974,28,10.895601
-65.44532,51,10.937055
-50.413166,61,11.031049
-42.41738,81,11.09335
-72.331085,42,11.15398
-63.155224,55,11.213915
-61.20121,58,11.30959
-71.70485,66,11.443358
-58.710537,62,11.598642
-60.829895,59,11.677378
-77.50154,34,11.755247
-60.901382,53,11.755314
-59.56858,61,12.085724
-61.02706,59,12.182295
-61.13604,56,12.243853
-65.557785,54,12.264319
-74.671616,38,12.423329
-61.240612,59,12.461553
-43.66137,84,12.581504
-67.86448,48,12.703115
-36.052437,57,12.722167
-76.29217,36,12.802567
-64.62191,53,12.802625
-53.37947,74,12.895443
-24.86149,108,12.956922
-62.50848,58,13.404019
-67.576744,49,13.426785
-56.48705,58,13.56455
-68.57191,45,13.584267
-70.72576,43,13.644774
-53.686695,78,13.783387
-70.534706,45,13.783448
-25.516249,87,13.901914
-57.562256,75,14.057102
-72.96367,40,14.190293
-34.77032,76,14.291795
-52.145073,74,14.410931
-70.180756,44,14.508958
-38.354645,95,14.591643
-63.4634,46,14.693603
-53.55862,48,14.731808
-48.175705,67,14.754597
-55.748726,66,14.87295
-77.07582,35,14.893997
-66.396484,50,14.894068
-79.347626,31,15.203454
-14.407961,84,15.244448
-26.705173,79,15.615104
-70.87005,63,15.65402
-64.217705,52,15.77375
-52.156227,57,15.848525
-83.97665,61,16.059974
-35.14687,90,16.060035
-59.438118,61,16.084354
-30.562523,83,16.14247
-44.852177,76,16.185931
-63.619843,56,16.303449
-64.715515,59,16.404918
-32.32946,99,16.840971
-52.897594,62,16.881219
-64.92944,54,16.920532
-59.781094,61,16.97833
-75.891685,35,16.998691
-37.975796,77,17.139292
-37.45057,61,17.276889
-53.75532,69,17.553152
-50.596752,77,17.595658
-47.938988,78,17.636972
-73.1807,41,17.657712
-73.7503,42,17.817397
-63.886528,50,17.915795
-67.41017,91,17.959188
-74.80338,36,17.996196
-40.339138,86,18.113901
-77.627144,33,18.216199
-51.786922,73,18.453305
-45.226933,81,18.493629
-40.438118,76,18.656706
-67.20744,49,18.795431
-73.57037,46,18.87696
-75.74124,36,18.935269
-67.308136,48,18.956163
-50.110806,69,19.036298
-17.689613,79,19.176772
-50.942562,72,19.351657
-40.190735,88,19.392014
-77.05591,34,19.472982
-83.30978,41,19.747476
-34.18761,84,19.788513
-63.014366,50,19.868441
-47.317688,79,20.025566
-53.227715,69,20.025627
-60.953445,56,20.065065
-55.01082,59,20.208144
-30.08887,96,20.40958
-57.17096,57,20.487385
-71.49354,54,20.545426
-44.75661,83,20.819429
-60.10379,56,20.856574
-11.657993,83,21.03064
-52.760246,62,21.248475
-32.259304,73,21.467851
-23.683365,87,21.509123
1.2375419,90,21.644993
-27.294693,81,21.66501
-55.31509,68,21.741829
-54.253586,66,21.782105
-52.735344,72,21.960552
-58.91076,63,22.05665
-25.816824,95,22.076988
-48.998947,70,22.239481
-53.115185,63,22.493025
-77.57139,40,22.534758
-61.67608,58,22.65189
-57.954273,84,22.69043
-67.08815,39,22.828382
-52.049023,69,22.996735
-41.624844,75,23.130043
-15.440503,85,23.130111
-62.458652,59,23.229805
-46.140434,70,23.326758
-67.375046,48,23.430763
-26.155624,64,23.792548
-44.94545,82,23.85126
-56.44105,64,23.952257
-22.441694,118,24.113667
-56.227062,59,24.176997
-41.25583,85,24.331621
-53.73764,62,24.464696
-46.13474,79,24.708449
-70.69914,40,24.74776
-49.589363,73,24.789653
-66.2107,50,24.8479
7.436324,107,24.94806
-61.108963,56,25.28606
-52.21924,68,25.464228
-0.85645473,117,25.464299
-21.569954,116,25.742386
-62.045853,56,25.864487
-27.855742,106,25.904602
-45.705185,80,25.92508
-56.854115,61,26.00663
-41.927692,84,26.519519
-40.319206,79,26.51958
-24.126867,105,26.559292
-26.98708,95,26.599967
-47.28379,57,26.600028
-73.58796,39,26.639896
-40.97887,78,27.014959
-50.747326,73,27.385498
6.376452,106,27.405621
-16.109125,85,27.601338
-79.71536,30,27.620247
-19.764687,98,27.700156
-42.112305,87,27.737501
-40.900227,81,28.129709
-36.05089,82,28.150577
-35.620182,77,28.172793
-37.85969,91,28.370548
-28.297125,98,28.546025
-69.77464,44,28.566761
-40.609684,71,28.809408
-29.74147,73,29.06421
-63.241955,53,29.415153
-65.92774,49,29.512963
-47.572205,76,29.667413
13.748462,158,29.730455
3.0985105,104,29.789878
-42.69901,84,29.81323
-15.480362,124,30.053907
54.478905,180,30.939761
-26.001785,108,31.192841
-10.807733,139,31.307694
-35.09958,77,31.328516
-33.783897,91,31.463526
58.568653,171,31.504172
-27.137709,103,31.544345
21.786781,157,31.899253
-6.9277124,116,32.075654
-9.158433,103,32.075719
43.66589,156,32.80007
218.13918,250,34.306195
79.27815,205,35.481101
162.77666,233,35.502707
89.75525,218,35.81539
323.37302,250,36.093048
192.30338,250,36.212475
221.08127,250,36.233127
231.24866,250,36.421622
245.60991,250,36.819512
229.08958,250,37.000938
235.17697,250,37.000999
236.94673,250,37.727996
27.382307,134,38.141916
8.380739,103,38.282286
32.724827,149,39.053427
231.02014,250,39.270823
103.950424,186,39.506721
85.38187,180,39.982175
239.93991,250,40.450177
241.58687,250,41.161723
277.61118,250,41.751874
261.6011,250,41.929868
260.22946,250,41.929932
28.123623,153,42.068502
135.58101,210,42.290366
263.4309,250,42.664897
53.248367,161,42.685076
247.39026,250,43.217605
256.8859,250,44.207658
247.80751,250,44.914792
257.66446,250,45.390456
259.7313,250,46.096523
108.16284,222,46.315392
253.70728,250,46.686775
258.91995,250,46.866553
279.2669,250,47.002549
232.32559,250,47.225721
220.40211,250,47.606204
262.51385,250,47.63077
253.4928,250,48.162586
273.58173,250,49.149492
251.60788,250,49.869607
291.0338,250,50.338827
264.85406,250,51.055434
300.65387,250,51.280266
335.30856,250,51.661392
293.7501,250,51.843861
292.3729,250,51.989498
256.9874,250,52.211048
114.50737,231,52.234356
263.37952,250,52.599755
305.35217,250,53.149367
9.238292,99,53.266744
269.83743,250,54.129125
32.933052,115,54.265691
22.458994,107,54.699622
312.48602,250,54.83912
283.16486,250,55.31279
27.688248,105,55.332484
3.0061111,88,55.861907
300.37936,250,56.01875
310.84573,250,56.606959
332.23514,250,56.791147
190.60985,245,57.078768
-0.93879706,91,57.140544
368.55988,250,57.164758
355.4333,250,58.098129
-3.5026038,76,58.590667
12.969013,87,58.883617
329.69876,250,59.223365
330.0032,250,59.657957
421.23737,250,59.80057
280.80634,250,60.28575
-60.49663,43,60.521082
327.11755,250,60.832711
-31.522913,57,60.931648
328.20694,250,60.992874
33.032787,118,61.226597
16.56074,108,61.361838
-22.542576,66,61.583295
302.1593,250,61.583357
298.54575,250,61.762376
100.10699,166,61.879488
324.71826,250,62.087159
-33.21304,61,62.128516
-13.192033,82,62.128574
-24.14394,83,62.59592
305.34055,250,63.025947
-23.232397,80,63.692738
-24.42658,88,63.809386
54.041077,166,64.087027
5.7668705,114,64.107499
46.032944,136,64.419872
15.596271,118,64.933702
94.64241,189,65.070832
7.0772815,115,65.284952
-35.36505,74,65.534128
-56.046314,47,65.992008
234.78824,250,66.132112
8.825905,124,66.248598
262.34015,250,66.491001
314.59796,250,66.491064
247.27159,250,67.037069
-13.442339,84,67.196499
-17.03852,78,67.53284
-54.0702,54,67.553656
44.030403,133,67.553715
286.89514,250,68.60644
37.284454,120,68.606523
-43.780018,65,68.819642
-10.816719,75,69.022947
298.10617,250,69.023009
261.57584,250,69.340199
96.75927,163,69.696224
-14.107829,63,69.850057
120.31542,190,69.872504
-24.74341,71,70.010221
256.91904,250,70.207233
-33.92111,71,70.227995
96.34392,200,71.133169
3.836024,79,71.244556
-11.480942,80,71.784764
364.65796,250,71.965345
51.163376,145,72.206585
335.89774,250,72.464302
111.85343,199,72.954398
-4.012948,94,73.836138
130.53319,184,73.877734
283.90695,250,73.980504
119.4026,176,74.634048
168.01909,241,74.654437
357.1344,250,74.815615
38.645317,135,74.8998
250.39287,250,74.982881
